Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,Feature_Key,SNR,Baseline_Quality,Baseline_Width_nm,Baseline_CV_Percent,Laser_Suitability,Resolution_Class,Baseline_Std_Dev,Baseline_Used,Norm_Factor,Normalization_Method,Target_Ref_Intensity,Peak_Width_nm,Peak_Prominence,Click_Order,Laser_Critical,Reference_Wavelength_Used,total_width_nm,left_width_nm,right_width_nm,symmetry_ratio,skew_description,skew_severity,width_class,laser_character,resolution_points,resolution_quality,Normalization_Scheme,Reference_Wavelength,Analyzer_Version,Analysis_Date,Analysis_Time,Intensity_Range_Min,Intensity_Range_Max,Target_Reference_Intensity,Scaling_Factor,Is_Laser_Critical_Peak,Total_Spectrum_Points,Wavelength_Range_Min,Wavelength_Range_Max,Wavelength_Span_nm,Resolution_Estimate_nm_per_point,Critical_Peaks_In_Range,Baseline_SNR,Laser_Critical_Peaks_Found,Critical_Peak_Wavelengths
Baseline_Start,140LC1.txt,Laser,301.190,21.100,Start,Baseline,Enhanced_Baseline_Laser_Normalized,Baseline_0,3.700,Poor,42.400,26.760,May miss fine laser features,Ultra-high,5.628,21.030,9.050,laser_max_50000_to_100,50000.000,51.298,5524.717,,,,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Baseline_End,140LC1.txt,Laser,343.640,19.160,End,Baseline,Enhanced_Baseline_Laser_Normalized,Baseline_0,3.700,Poor,42.400,26.760,May miss fine laser features,Ultra-high,5.628,21.030,9.050,laser_max_50000_to_100,50000.000,51.298,5524.717,,,,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Peak_Max,140LC1.txt,Laser,431.600,50.250,Max,Peak,Enhanced_Baseline_Laser_Normalized,Peak_0,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,21.030,9.050,laser_max_50000_to_100,,51.298,5524.717,1.000,True,452.462,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Peak_Max,140LC1.txt,Laser,439.440,91.640,Max,Peak,Enhanced_Baseline_Laser_Normalized,Peak_1,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,21.030,9.050,laser_max_50000_to_100,,51.298,5524.717,1.000,True,452.462,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Peak_Max,140LC1.txt,Laser,452.550,99.800,Max,Peak,Enhanced_Baseline_Laser_Normalized,Peak_2,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,21.030,9.050,laser_max_50000_to_100,,51.298,5524.717,1.000,True,452.462,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Valley_Midpoint,140LC1.txt,Laser,443.720,89.260,Midpoint,Valley,Enhanced_Baseline_Laser_Normalized,Valley_0,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,21.030,9.050,laser_max_50000_to_100,,51.298,5524.717,1.000,,452.462,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Peak_Max,140LC1.txt,Laser,504.390,48.000,Max,Peak,Enhanced_Baseline_Laser_Normalized,Peak_3,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,21.030,9.050,laser_max_50000_to_100,,51.298,5524.717,1.000,True,452.462,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Peak_Max,140LC1.txt,Laser,512.770,53.920,Max,Peak,Enhanced_Baseline_Laser_Normalized,Peak_4,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,21.030,9.050,laser_max_50000_to_100,,51.298,5524.717,1.000,True,452.462,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Peak_Max,140LC1.txt,Laser,519.830,53.010,Max,Peak,Enhanced_Baseline_Laser_Normalized,Peak_5,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,21.030,9.050,laser_max_50000_to_100,,51.298,5524.717,1.000,True,452.462,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Mound_Start,140LC1.txt,Laser,619.970,10.030,Start,Mound,Enhanced_Baseline_Laser_Normalized,Mound_0,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,21.030,9.050,laser_max_50000_to_100,,51.298,5524.717,1.000,,452.462,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Mound_Crest,140LC1.txt,Laser,683.200,16.960,Crest,Mound,Enhanced_Baseline_Laser_Normalized,Mound_0,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,21.030,9.050,laser_max_50000_to_100,,51.298,5524.717,2.000,,452.462,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Mound_End,140LC1.txt,Laser,844.320,0.920,End,Mound,Enhanced_Baseline_Laser_Normalized,Mound_0,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,21.030,9.050,laser_max_50000_to_100,,51.298,5524.717,3.000,,452.462,,,,,,,,,,,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
Mound_Summary,140LC1.txt,Laser,683.200,16.960,Summary,Mound,Enhanced_Baseline_Laser_Normalized,Mound_0,,Poor,42.400,26.760,May miss fine laser features,Ultra-high,,,,laser_max_50000_to_100,,51.298,5524.717,,,,224.360,63.240,161.120,0.393,Left Skewed,Strong,Very Broad,Mound-like,1151.900,Excellent,Laser_Max_50000_to_100,452.462,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-27,21:11:26,0.000,100.000,50000.000,9.050,False,3653,293.022,1004.518,711.496,0.195,2,3.700,1,522.2nm
